Date,Egg_Price
1/1/1980,0.879
1/2/1980,0.875612903
1/3/1980,0.872225806
1/4/1980,0.86883871
1/5/1980,0.865451613
1/6/1980,0.862064516
1/7/1980,0.858677419
1/8/1980,0.855290323
1/9/1980,0.851903226
1/10/1980,0.848516129
1/11/1980,0.845129032
1/12/1980,0.841741935
1/13/1980,0.838354839
1/14/1980,0.834967742
1/15/1980,0.831580645
1/16/1980,0.828193548
1/17/1980,0.824806452
1/18/1980,0.821419355
1/19/1980,0.818032258
1/20/1980,0.814645161
1/21/1980,0.811258065
1/22/1980,0.807870968
1/23/1980,0.804483871
1/24/1980,0.801096774
1/25/1980,0.797709677
1/26/1980,0.794322581
1/27/1980,0.790935484
1/28/1980,0.787548387
1/29/1980,0.78416129
1/30/1980,0.780774194
1/31/1980,0.777387097
2/1/1980,0.774
2/2/1980,0.775310345
2/3/1980,0.77662069
2/4/1980,0.777931034
2/5/1980,0.779241379
2/6/1980,0.780551724
2/7/1980,0.781862069
2/8/1980,0.783172414
2/9/1980,0.784482759
2/10/1980,0.785793103
2/11/1980,0.787103448
2/12/1980,0.788413793
2/13/1980,0.789724138
2/14/1980,0.791034483
2/15/1980,0.792344828
2/16/1980,0.793655172
2/17/1980,0.794965517
2/18/1980,0.796275862
2/19/1980,0.797586207
2/20/1980,0.798896552
2/21/1980,0.800206897
2/22/1980,0.801517241
2/23/1980,0.802827586
2/24/1980,0.804137931
2/25/1980,0.805448276
2/26/1980,0.806758621
2/27/1980,0.808068966
2/28/1980,0.80937931
2/29/1980,0.810689655
3/1/1980,0.812
3/2/1980,0.811516129
3/3/1980,0.811032258
3/4/1980,0.810548387
3/5/1980,0.810064516
3/6/1980,0.809580645
3/7/1980,0.809096774
3/8/1980,0.808612903
3/9/1980,0.808129032
3/10/1980,0.807645161
3/11/1980,0.80716129
3/12/1980,0.806677419
3/13/1980,0.806193548
3/14/1980,0.805709677
3/15/1980,0.805225806
3/16/1980,0.804741935
3/17/1980,0.804258065
3/18/1980,0.803774194
3/19/1980,0.803290323
3/20/1980,0.802806452
3/21/1980,0.802322581
3/22/1980,0.80183871
3/23/1980,0.801354839
3/24/1980,0.800870968
3/25/1980,0.800387097
3/26/1980,0.799903226
3/27/1980,0.799419355
3/28/1980,0.798935484
3/29/1980,0.798451613
3/30/1980,0.797967742
3/31/1980,0.797483871
4/1/1980,0.797
4/2/1980,0.795
4/3/1980,0.793
4/4/1980,0.791
4/5/1980,0.789
4/6/1980,0.787
4/7/1980,0.785
4/8/1980,0.783
4/9/1980,0.781
4/10/1980,0.779
4/11/1980,0.777
4/12/1980,0.775
4/13/1980,0.773
4/14/1980,0.771
4/15/1980,0.769
4/16/1980,0.767
4/17/1980,0.765
4/18/1980,0.763
4/19/1980,0.761
4/20/1980,0.759
4/21/1980,0.757
4/22/1980,0.755
4/23/1980,0.753
4/24/1980,0.751
4/25/1980,0.749
4/26/1980,0.747
4/27/1980,0.745
4/28/1980,0.743
4/29/1980,0.741
4/30/1980,0.739
5/1/1980,0.737
5/2/1980,0.736806452
5/3/1980,0.736612903
5/4/1980,0.736419355
5/5/1980,0.736225806
5/6/1980,0.736032258
5/7/1980,0.73583871
5/8/1980,0.735645161
5/9/1980,0.735451613
5/10/1980,0.735258065
5/11/1980,0.735064516
5/12/1980,0.734870968
5/13/1980,0.734677419
5/14/1980,0.734483871
5/15/1980,0.734290323
5/16/1980,0.734096774
5/17/1980,0.733903226
5/18/1980,0.733709677
5/19/1980,0.733516129
5/20/1980,0.733322581
5/21/1980,0.733129032
5/22/1980,0.732935484
5/23/1980,0.732741935
5/24/1980,0.732548387
5/25/1980,0.732354839
5/26/1980,0.73216129
5/27/1980,0.731967742
5/28/1980,0.731774194
5/29/1980,0.731580645
5/30/1980,0.731387097
5/31/1980,0.731193548
6/1/1980,0.731
6/2/1980,0.7325
6/3/1980,0.734
6/4/1980,0.7355
6/5/1980,0.737
6/6/1980,0.7385
6/7/1980,0.74
6/8/1980,0.7415
6/9/1980,0.743
6/10/1980,0.7445
6/11/1980,0.746
6/12/1980,0.7475
6/13/1980,0.749
6/14/1980,0.7505
6/15/1980,0.752
6/16/1980,0.7535
6/17/1980,0.755
6/18/1980,0.7565
6/19/1980,0.758
6/20/1980,0.7595
6/21/1980,0.761
6/22/1980,0.7625
6/23/1980,0.764
6/24/1980,0.7655
6/25/1980,0.767
6/26/1980,0.7685
6/27/1980,0.77
6/28/1980,0.7715
6/29/1980,0.773
6/30/1980,0.7745
7/1/1980,0.776
7/2/1980,0.780225806
7/3/1980,0.784451613
7/4/1980,0.788677419
7/5/1980,0.792903226
7/6/1980,0.797129032
7/7/1980,0.801354839
7/8/1980,0.805580645
7/9/1980,0.809806452
7/10/1980,0.814032258
7/11/1980,0.818258065
7/12/1980,0.822483871
7/13/1980,0.826709677
7/14/1980,0.830935484
7/15/1980,0.83516129
7/16/1980,0.839387097
7/17/1980,0.843612903
7/18/1980,0.84783871
7/19/1980,0.852064516
7/20/1980,0.856290323
7/21/1980,0.860516129
7/22/1980,0.864741935
7/23/1980,0.868967742
7/24/1980,0.873193548
7/25/1980,0.877419355
7/26/1980,0.881645161
7/27/1980,0.885870968
7/28/1980,0.890096774
7/29/1980,0.894322581
7/30/1980,0.898548387
7/31/1980,0.902774194
8/1/1980,0.907
8/2/1980,0.906709677
8/3/1980,0.906419355
8/4/1980,0.906129032
8/5/1980,0.90583871
8/6/1980,0.905548387
8/7/1980,0.905258065
8/8/1980,0.904967742
8/9/1980,0.904677419
8/10/1980,0.904387097
8/11/1980,0.904096774
8/12/1980,0.903806452
8/13/1980,0.903516129
8/14/1980,0.903225806
8/15/1980,0.902935484
8/16/1980,0.902645161
8/17/1980,0.902354839
8/18/1980,0.902064516
8/19/1980,0.901774194
8/20/1980,0.901483871
8/21/1980,0.901193548
8/22/1980,0.900903226
8/23/1980,0.900612903
8/24/1980,0.900322581
8/25/1980,0.900032258
8/26/1980,0.899741935
8/27/1980,0.899451613
8/28/1980,0.89916129
8/29/1980,0.898870968
8/30/1980,0.898580645
8/31/1980,0.898290323
9/1/1980,0.898
9/2/1980,0.896966667
9/3/1980,0.895933333
